股票代码,截止日期,股票名称,行业,上市时间,市盈率-动态,市净率,总市值,流通市值
603296,2023-08-08,华勤技术,消费电子,20230808,21.85,3.63,90278290735.0,50766341525.0
688472,2023-06-09,阿特斯,光伏设备,20230609,39.51,2.22,52096903602.0,19271457791.0
601059,2023-02-01,信达证券,证券,20230201,31.93,2.83,57628110000.0,57628110000.0
688506,2023-01-06,百利天恒,生物制品,20230106,-179.71,16.52,118494785479.0,115087000000.0
601136,2022-12-22,首创证券,证券,20221222,45.64,3.56,48899341682.0,48899341682.0
688271,2022-08-22,联影医疗,医疗器械,20220822,69.52,4.99,103843906488.0,103843906488.0
301269,2022-07-29,华大九天,软件开发,20220729,4769.28,11.09,57614574533.0,57614574533.0
688041,2022-08-12,海光信息,半导体,20220812,230.24,27.76,602143025854.0,602143025854.0
600938,2022-04-21,中国海油,石油行业,20220421,12.02,2.08,1634555117510.0,102826100000.0
688223,2022-01-26,晶科能源,光伏设备,20220126,-14.53,2.7,75939498428.0,75939498428.0
001289,2022-01-24,龙源电力,电力行业,20220124,22.22,1.73,130162337673.0,78502914933.0
600941,2022-01-05,中国移动,通信服务,20220105,13.04,1.47,2005110321737.0,83605332163.0
688082,2021-11-18,盛美上海,半导体,20211118,51.03,6.48,86146364794.0,78290901712.0
601868,2021-09-28,中国能建,工程建设,20210928,23.68,0.91,99641881090.0,77504659050.0
688187,2021-09-07,时代电气,交运设备,20210907,19.12,1.85,78489418214.0,50222854194.0
601728,2021-08-20,中国电信,通信服务,20210820,12.65,1.13,518845476423.0,440160561723.0
688303,2021-07-22,大全能源,光伏设备,20210722,-35.25,1.29,50433786571.0,50433786571.0
600905,2021-06-10,三峡能源,电力行业,20210610,20.28,1.31,116637612579.0,116637612579.0
605499,2021-05-27,东鹏饮料,食品饮料,20210527,29.62,16.88,148527087920.0,137699442400.0
300979,2021-04-26,华利集团,纺织服装,20210426,17.36,3.62,56377770000.0,56377277238.0
605117,2021-04-20,德业股份,光伏设备,20210420,27.48,8.98,85979985469.0,85979985469.0
